"","Price"
"2019-08-08",24750
"2019-08-09",29500
"2019-08-12",29200
"2019-08-13",27600
"2019-08-14",26800
"2019-08-16",26400
"2019-08-19",26000
"2019-08-20",27200
"2019-08-21",26700
"2019-08-22",27400
"2019-08-23",27800
"2019-08-26",26500
"2019-08-27",27500
"2019-08-28",28650
"2019-08-29",27600
"2019-08-30",27900
"2019-09-02",27400
"2019-09-03",27500
"2019-09-04",29900
"2019-09-05",30000
"2019-09-06",31800
"2019-09-09",32400
"2019-09-10",33350
"2019-09-11",33150
"2019-09-16",32200
"2019-09-17",32000
"2019-09-18",31750
"2019-09-19",32800
"2019-09-20",32700
"2019-09-23",34350
"2019-09-24",34350
"2019-09-25",32650
"2019-09-26",33800
"2019-09-27",34600
"2019-09-30",34400
"2019-10-01",34450
"2019-10-02",33600
"2019-10-04",33550
"2019-10-07",32700
"2019-10-08",33450
"2019-10-10",33450
"2019-10-11",34300
"2019-10-14",34800
"2019-10-15",33750
"2019-10-16",33600
"2019-10-17",32950
"2019-10-18",32300
"2019-10-21",31950
"2019-10-22",32700
"2019-10-23",32200
"2019-10-24",32800
"2019-10-25",32700
"2019-10-28",32500
"2019-10-29",32500
"2019-10-30",32150
"2019-10-31",32100
"2019-11-01",31950
"2019-11-04",33500
"2019-11-05",34650
"2019-11-06",35000
"2019-11-07",37100
"2019-11-08",36650
"2019-11-11",37500
"2019-11-12",37650
"2019-11-13",38200
"2019-11-14",37300
"2019-11-15",36500
"2019-11-18",34900
"2019-11-19",36300
"2019-11-20",35850
"2019-11-21",35250
"2019-11-22",34350
"2019-11-25",36000
"2019-11-26",37750
"2019-11-27",38100
"2019-11-28",37950
"2019-11-29",38000
"2019-12-02",36550
"2019-12-03",36400
"2019-12-04",36500
"2019-12-05",36450
"2019-12-06",36700
"2019-12-09",36550
"2019-12-10",38650
"2019-12-11",38000
"2019-12-12",38050
"2019-12-13",37700
"2019-12-16",40500
"2019-12-17",40900
"2019-12-18",42000
"2019-12-19",40500
"2019-12-20",40650
"2019-12-23",41250
"2019-12-24",40650
"2019-12-26",42000
"2019-12-27",42700
"2019-12-30",42900
"2020-01-02",42900
"2020-01-03",42300
"2020-01-06",40950
"2020-01-07",41400
"2020-01-08",41500
"2020-01-09",45000
"2020-01-10",44500
"2020-01-13",46000
"2020-01-14",46250
"2020-01-15",49100
"2020-01-16",50000
"2020-01-17",52500
"2020-01-20",49950
"2020-01-21",49950
"2020-01-22",49650
"2020-01-23",49550
"2020-01-28",48900
"2020-01-29",50400
"2020-01-30",48600
"2020-01-31",48100
"2020-02-03",49150
"2020-02-04",48450
"2020-02-05",50000
"2020-02-06",49200
"2020-02-07",47500
"2020-02-10",46600
"2020-02-11",46600
"2020-02-12",47600
"2020-02-13",45900
"2020-02-14",46250
"2020-02-17",45900
"2020-02-18",47350
"2020-02-19",46050
"2020-02-20",49650
"2020-02-21",47800
"2020-02-24",46500
"2020-02-25",47500
"2020-02-26",47850
"2020-02-27",45350
"2020-02-28",42900
"2020-03-02",45200
"2020-03-03",45250
"2020-03-04",46350
"2020-03-05",48900
"2020-03-06",48200
"2020-03-09",44500
"2020-03-10",44700
"2020-03-11",41900
"2020-03-12",39000
"2020-03-13",37500
"2020-03-16",33500
"2020-03-17",34500
"2020-03-18",32150
"2020-03-19",27400
"2020-03-20",30100
"2020-03-23",28750
"2020-03-24",32250
"2020-03-25",34550
"2020-03-26",35500
"2020-03-27",34450
"2020-03-30",34500
"2020-03-31",34100
"2020-04-01",32300
"2020-04-02",31500
"2020-04-03",31200
"2020-04-06",35150
"2020-04-07",35800
"2020-04-08",36100
"2020-04-09",36350
"2020-04-10",37000
"2020-04-13",35150
"2020-04-14",35550
"2020-04-16",37950
"2020-04-17",38500
"2020-04-20",38350
"2020-04-21",37200
"2020-04-22",37000
"2020-04-23",37250
"2020-04-24",35150
"2020-04-27",34600
"2020-04-28",37100
"2020-04-29",38550
"2020-05-04",41100
"2020-05-06",42100
"2020-05-07",44750
"2020-05-08",47700
"2020-05-11",46600
"2020-05-12",48600
"2020-05-13",48500
"2020-05-14",49950
"2020-05-15",52200
"2020-05-18",50800
"2020-05-19",47000
"2020-05-20",53900
"2020-05-21",55000
"2020-05-22",53600
"2020-05-25",53000
"2020-05-26",54900
"2020-05-27",52500
"2020-05-28",50100
"2020-05-29",49500
"2020-06-01",50200
"2020-06-02",49950
"2020-06-03",50800
"2020-06-04",49250
"2020-06-05",49300
"2020-06-08",47950
"2020-06-09",48300
"2020-06-10",47400
"2020-06-11",48100
"2020-06-12",46000
"2020-06-15",43550
"2020-06-16",45250
"2020-06-17",45200
"2020-06-18",46200
"2020-06-19",46100
"2020-06-22",46300
"2020-06-23",45600
"2020-06-24",44800
"2020-06-25",43150
"2020-06-26",46550
"2020-06-29",44500
"2020-06-30",44000
"2020-07-01",42650
"2020-07-02",42700
"2020-07-03",43300
"2020-07-06",46500
"2020-07-07",46300
"2020-07-08",47800
"2020-07-09",51800
"2020-07-10",52000
"2020-07-13",51100
"2020-07-14",50200
"2020-07-15",47050
"2020-07-16",47650
"2020-07-17",47550
"2020-07-20",46700
"2020-07-21",48950
"2020-07-22",48650
"2020-07-23",47000
"2020-07-24",47350
"2020-07-27",48950
"2020-07-28",50100
"2020-07-29",49500
"2020-07-30",48800
"2020-07-31",47850
"2020-08-03",47500
"2020-08-04",47500
"2020-08-05",46800
"2020-08-06",47000
"2020-08-07",46850
"2020-08-10",47100
"2020-08-11",46550
"2020-08-12",46550
"2020-08-13",46150
"2020-08-14",46750
"2020-08-18",45650
"2020-08-19",44250
"2020-08-20",44300
"2020-08-21",45650
"2020-08-24",43050
"2020-08-25",43450
"2020-08-26",42700
"2020-08-27",41100
"2020-08-28",41100
"2020-08-31",40450
"2020-09-01",44650
"2020-09-02",46500
"2020-09-03",47300
"2020-09-04",47250
"2020-09-07",46850
"2020-09-08",46200
"2020-09-09",44800
"2020-09-10",46250
"2020-09-11",46050
"2020-09-14",45800
"2020-09-15",46600
"2020-09-16",46550
"2020-09-17",45400
"2020-09-18",45100
"2020-09-21",43600
"2020-09-22",43800
"2020-09-23",43550
"2020-09-24",41800
"2020-09-25",41650
"2020-09-28",41250
"2020-09-29",41900
"2020-10-05",42100
"2020-10-06",43950
"2020-10-07",43450
"2020-10-08",43100
"2020-10-12",43550
"2020-10-13",42650
"2020-10-14",42150
"2020-10-15",41900
"2020-10-16",41000
"2020-10-19",40900
"2020-10-20",41050
"2020-10-21",40750
"2020-10-22",40200
"2020-10-23",41250
"2020-10-26",41100
"2020-10-27",39950
"2020-10-28",41100
"2020-10-29",40050
"2020-10-30",39050
"2020-11-02",38000
"2020-11-03",38200
"2020-11-04",38000
"2020-11-05",39600
"2020-11-06",38700
"2020-11-09",38950
"2020-11-10",40900
"2020-11-11",44100
"2020-11-12",43300
"2020-11-13",43900
"2020-11-16",43450
"2020-11-17",42900
"2020-11-18",41600
"2020-11-19",42350
"2020-11-20",44250
"2020-11-23",45150
"2020-11-24",46150
"2020-11-25",46250
"2020-11-26",45500
"2020-11-27",43900
"2020-11-30",43800
"2020-12-01",43500
"2020-12-02",44350
"2020-12-03",45500
"2020-12-04",44850
"2020-12-07",43200
"2020-12-08",43050
"2020-12-09",43350
"2020-12-10",43300
"2020-12-11",46600
"2020-12-14",46500
"2020-12-15",47300
"2020-12-16",48200
"2020-12-17",46950
"2020-12-18",45850
"2020-12-21",47000
"2020-12-22",46400
"2020-12-23",47200
"2020-12-24",47500
"2020-12-28",49700
"2020-12-29",52500
"2020-12-30",53300
"2021-01-04",52900
"2021-01-05",56300
"2021-01-06",58300
"2021-01-07",58500
"2021-01-08",59000
"2021-01-11",58200
"2021-01-12",56500
"2021-01-13",55000
"2021-01-14",60400
"2021-01-15",60000
"2021-01-18",59600
"2021-01-19",61400
"2021-01-20",62200
"2021-01-21",59800
"2021-01-22",57500
"2021-01-25",58000
"2021-01-26",56800
"2021-01-27",55700
"2021-01-28",54100
"2021-01-29",55600
"2021-02-01",59100
"2021-02-02",59400
"2021-02-03",58200
"2021-02-04",62500
"2021-02-05",62400
"2021-02-08",60700
"2021-02-09",60300
"2021-02-10",61700
"2021-02-15",60600
"2021-02-16",59600
"2021-02-17",56000
"2021-02-18",54300
"2021-02-19",54000
"2021-02-22",50700
"2021-02-23",53500
"2021-02-24",51200
"2021-02-25",53300
"2021-02-26",53800
"2021-03-02",53100
"2021-03-03",52100
"2021-03-04",52800
"2021-03-05",53200
"2021-03-08",52100
"2021-03-09",51500
"2021-03-10",51700
"2021-03-11",52300
"2021-03-12",51600
"2021-03-15",51600
"2021-03-16",53300
"2021-03-17",52400
"2021-03-18",54500
"2021-03-19",56200
"2021-03-22",56600
"2021-03-23",54200
"2021-03-24",54200
"2021-03-25",55200
"2021-03-26",55900
"2021-03-29",53800
"2021-03-30",52200
"2021-03-31",51800
"2021-04-01",52600
"2021-04-02",52900
"2021-04-05",53100
"2021-04-06",53000
"2021-04-07",53400
"2021-04-08",54700
"2021-04-09",55400
"2021-04-12",55600
"2021-04-13",55700
"2021-04-14",55500
"2021-04-15",57500
"2021-04-16",57600
"2021-04-19",55800
"2021-04-20",58300
"2021-04-21",57200
"2021-04-22",55700
"2021-04-23",53600
