"","Price"
"2018-04-24",617
"2018-04-25",617
"2018-04-26",619
"2018-04-27",618
"2018-04-30",640
"2018-05-02",635
"2018-05-03",669
"2018-05-04",682
"2018-05-08",694
"2018-05-09",689
"2018-05-10",692
"2018-05-11",677
"2018-05-14",666
"2018-05-15",671
"2018-05-16",636
"2018-05-17",646
"2018-05-18",652
"2018-05-21",667
"2018-05-23",652
"2018-05-24",644
"2018-05-25",635
"2018-05-28",673
"2018-05-29",657
"2018-05-30",641
"2018-05-31",650
"2018-06-01",641
"2018-06-04",639
"2018-06-05",655
"2018-06-07",669
"2018-06-08",662
"2018-06-11",653
"2018-06-12",646
"2018-06-14",630
"2018-06-15",640
"2018-06-18",620
"2018-06-19",607
"2018-06-20",615
"2018-06-21",601
"2018-06-22",600
"2018-06-25",600
"2018-06-26",598
"2018-06-27",585
"2018-06-28",566
"2018-06-29",574
"2018-07-02",543
"2018-07-03",551
"2018-07-04",554
"2018-07-05",549
"2018-07-06",560
"2018-07-09",551
"2018-07-10",565
"2018-07-11",556
"2018-07-12",564
"2018-07-13",564
"2018-07-16",560
"2018-07-17",561
"2018-07-18",558
"2018-07-19",556
"2018-07-20",561
"2018-07-23",544
"2018-07-24",545
"2018-07-25",532
"2018-07-26",545
"2018-07-27",557
"2018-07-30",558
"2018-07-31",571
"2018-08-01",598
"2018-08-02",596
"2018-08-03",591
"2018-08-06",577
"2018-08-07",583
"2018-08-08",581
"2018-08-09",583
"2018-08-10",596
"2018-08-13",577
"2018-08-14",581
"2018-08-16",578
"2018-08-17",584
"2018-08-20",593
"2018-08-21",608
"2018-08-22",601
"2018-08-23",597
"2018-08-24",599
"2018-08-27",585
"2018-08-28",581
"2018-08-29",584
"2018-08-30",583
"2018-08-31",582
"2018-09-03",578
"2018-09-04",585
"2018-09-05",592
"2018-09-06",579
"2018-09-07",579
"2018-09-10",574
"2018-09-11",613
"2018-09-12",600
"2018-09-13",608
"2018-09-14",610
"2018-09-17",601
"2018-09-18",600
"2018-09-19",588
"2018-09-20",585
"2018-09-21",585
"2018-09-27",582
"2018-09-28",582
"2018-10-01",579
"2018-10-02",562
"2018-10-04",551
"2018-10-05",546
"2018-10-08",549
"2018-10-10",532
"2018-10-11",529
"2018-10-12",534
"2018-10-15",529
"2018-10-16",533
"2018-10-17",539
"2018-10-18",532
"2018-10-19",532
"2018-10-22",527
"2018-10-23",515
"2018-10-24",509
"2018-10-25",509
"2018-10-26",491
"2018-10-29",469
"2018-10-30",482
"2018-10-31",485
"2018-11-01",481
"2018-11-02",496
"2018-11-05",479
"2018-11-06",468
"2018-11-07",476
"2018-11-08",477
"2018-11-09",473
"2018-11-12",465
"2018-11-13",459
"2018-11-14",454
"2018-11-15",441
"2018-11-16",453
"2018-11-19",458
"2018-11-20",444
"2018-11-21",446
"2018-11-22",443
"2018-11-23",436
"2018-11-26",444
"2018-11-27",450
"2018-11-28",585
"2018-11-29",592
"2018-11-30",557
"2018-12-03",562
"2018-12-04",558
"2018-12-05",549
"2018-12-06",543
"2018-12-07",539
"2018-12-10",508
"2018-12-11",528
"2018-12-12",530
"2018-12-13",515
"2018-12-14",511
"2018-12-17",526
"2018-12-18",506
"2018-12-19",508
"2018-12-20",480
"2018-12-21",473
"2018-12-24",468
"2018-12-26",444
"2018-12-27",465
"2018-12-28",472
"2019-01-02",469
"2019-01-03",468
"2019-01-04",463
"2019-01-07",467
"2019-01-08",470
"2019-01-09",476
"2019-01-10",469
"2019-01-11",475
"2019-01-14",472
"2019-01-15",476
"2019-01-16",486
"2019-01-17",478
"2019-01-18",498
"2019-01-21",498
"2019-01-22",494
"2019-01-23",491
"2019-01-24",509
"2019-01-25",501
"2019-01-28",500
"2019-01-29",507
"2019-01-30",502
"2019-01-31",498
"2019-02-01",491
"2019-02-07",506
"2019-02-08",530
"2019-02-11",532
"2019-02-12",516
"2019-02-13",520
"2019-02-14",522
"2019-02-15",508
"2019-02-18",518
"2019-02-19",518
"2019-02-20",511
"2019-02-21",517
"2019-02-22",520
"2019-02-25",526
"2019-02-26",516
"2019-02-27",524
"2019-02-28",513
"2019-03-04",515
"2019-03-05",508
"2019-03-06",494
"2019-03-07",491
"2019-03-08",489
"2019-03-11",500
"2019-03-12",509
"2019-03-13",501
"2019-03-14",510
"2019-03-15",500
"2019-03-18",500
"2019-03-19",493
"2019-03-20",488
"2019-03-21",484
"2019-03-22",481
"2019-03-25",470
"2019-03-26",466
"2019-03-27",467
"2019-03-28",458
"2019-03-29",467
"2019-04-01",484
"2019-04-02",495
"2019-04-03",497
"2019-04-04",508
"2019-04-05",506
"2019-04-08",503
"2019-04-09",509
"2019-04-10",515
"2019-04-11",518
"2019-04-12",514
"2019-04-15",511
"2019-04-16",510
"2019-04-17",514
"2019-04-18",512
"2019-04-19",517
"2019-04-22",511
"2019-04-23",507
"2019-04-24",502
"2019-04-25",490
"2019-04-26",490
"2019-04-29",488
"2019-04-30",500
"2019-05-02",496
"2019-05-03",495
"2019-05-07",489
"2019-05-08",482
"2019-05-09",470
"2019-05-10",475
"2019-05-13",480
"2019-05-14",470
"2019-05-15",493
"2019-05-16",479
"2019-05-17",480
"2019-05-20",473
"2019-05-21",475
"2019-05-22",476
"2019-05-23",477
"2019-05-24",472
"2019-05-27",474
"2019-05-28",484
"2019-05-29",500
"2019-05-30",498
"2019-05-31",500
"2019-06-03",500
"2019-06-04",500
"2019-06-05",507
"2019-06-07",514
"2019-06-10",517
"2019-06-11",531
"2019-06-12",518
"2019-06-13",511
"2019-06-14",514
"2019-06-17",518
"2019-06-18",509
"2019-06-19",512
"2019-06-20",518
"2019-06-21",516
"2019-06-24",525
"2019-06-25",512
"2019-06-26",506
"2019-06-27",503
"2019-06-28",503
"2019-07-01",500
"2019-07-02",499
"2019-07-03",488
"2019-07-04",479
"2019-07-05",482
"2019-07-08",471
"2019-07-09",468
"2019-07-10",475
"2019-07-11",479
"2019-07-12",485
"2019-07-15",478
"2019-07-16",478
"2019-07-17",468
"2019-07-18",466
"2019-07-19",469
"2019-07-22",466
"2019-07-23",467
"2019-07-24",465
"2019-07-25",463
"2019-07-26",460
"2019-07-29",434
"2019-07-30",436
"2019-07-31",432
"2019-08-01",423
"2019-08-02",421
"2019-08-05",385
"2019-08-06",378
"2019-08-07",390
"2019-08-08",405
"2019-08-09",400
"2019-08-12",397
"2019-08-13",388
"2019-08-14",394
"2019-08-16",379
"2019-08-19",380
"2019-08-20",386
"2019-08-21",399
"2019-08-22",391
"2019-08-23",390
"2019-08-26",367
"2019-08-27",369
"2019-08-28",374
"2019-08-29",377
"2019-08-30",383
"2019-09-02",392
"2019-09-03",389
"2019-09-04",397
"2019-09-05",399
"2019-09-06",423
"2019-09-09",415
"2019-09-10",411
"2019-09-11",410
"2019-09-16",420
"2019-09-17",419
"2019-09-18",415
"2019-09-19",416
"2019-09-20",412
"2019-09-23",408
"2019-09-24",409
"2019-09-25",412
"2019-09-26",409
"2019-09-27",404
"2019-09-30",396
"2019-10-01",416
"2019-10-02",403
"2019-10-04",399
"2019-10-07",391
"2019-10-08",395
"2019-10-10",393
"2019-10-11",389
"2019-10-14",398
"2019-10-15",402
"2019-10-16",398
"2019-10-17",398
"2019-10-18",393
"2019-10-21",389
"2019-10-22",393
"2019-10-23",390
"2019-10-24",386
"2019-10-25",389
"2019-10-28",394
"2019-10-29",391
"2019-10-30",387
"2019-10-31",393
"2019-11-01",390
"2019-11-04",392
"2019-11-05",395
"2019-11-06",398
"2019-11-07",396
"2019-11-08",394
"2019-11-11",392
"2019-11-12",399
"2019-11-13",398
"2019-11-14",400
"2019-11-15",402
"2019-11-18",405
"2019-11-19",401
"2019-11-20",397
"2019-11-21",386
"2019-11-22",386
"2019-11-25",387
"2019-11-26",389
"2019-11-27",385
"2019-11-28",380
"2019-11-29",379
"2019-12-02",381
"2019-12-03",378
"2019-12-04",376
"2019-12-05",371
"2019-12-06",373
"2019-12-09",374
"2019-12-10",375
"2019-12-11",377
"2019-12-12",374
"2019-12-13",385
"2019-12-16",387
"2019-12-17",388
"2019-12-18",384
"2019-12-19",388
"2019-12-20",375
"2019-12-23",349
"2019-12-24",356
"2019-12-26",369
"2019-12-27",375
"2019-12-30",381
"2020-01-02",382
"2020-01-03",378
"2020-01-06",364
"2020-01-07",370
"2020-01-08",357
"2020-01-09",370
"2020-01-10",371
"2020-01-13",371
"2020-01-14",369
"2020-01-15",373
"2020-01-16",375
"2020-01-17",374
"2020-01-20",370
"2020-01-21",363
"2020-01-22",366
"2020-01-23",360
"2020-01-28",344
"2020-01-29",348
"2020-01-30",338
"2020-01-31",330
"2020-02-03",327
"2020-02-04",334
"2020-02-05",329
"2020-02-06",335
"2020-02-07",331
"2020-02-10",337
"2020-02-11",341
"2020-02-12",341
"2020-02-13",337
"2020-02-14",341
"2020-02-17",337
"2020-02-18",338
"2020-02-19",332
"2020-02-20",320
"2020-02-21",311
"2020-02-24",297
"2020-02-25",309
"2020-02-26",308
"2020-02-27",297
"2020-02-28",282
"2020-03-02",301
"2020-03-03",299
"2020-03-04",304
"2020-03-05",307
"2020-03-06",298
"2020-03-09",282
"2020-03-10",281
"2020-03-11",274
"2020-03-12",252
"2020-03-13",228
"2020-03-16",224
"2020-03-17",222
"2020-03-18",206
"2020-03-19",193
"2020-03-20",213
"2020-03-23",198
"2020-03-24",214
"2020-03-25",224
"2020-03-26",225
"2020-03-27",222
"2020-03-30",225
"2020-03-31",232
"2020-04-01",233
"2020-04-02",248
"2020-04-03",247
"2020-04-06",254
"2020-04-07",254
"2020-04-08",259
"2020-04-09",259
"2020-04-10",261
"2020-04-13",249
"2020-04-14",255
"2020-04-16",269
"2020-04-17",314
"2020-04-20",312
"2020-04-21",301
"2020-04-22",297
"2020-04-23",305
"2020-04-24",293
"2020-04-27",299
"2020-04-28",312
"2020-04-29",350
"2020-05-04",333
"2020-05-06",338
"2020-05-07",336
"2020-05-08",345
"2020-05-11",345
"2020-05-12",344
"2020-05-13",344
"2020-05-14",339
"2020-05-15",327
"2020-05-18",328
"2020-05-19",324
"2020-05-20",334
"2020-05-21",335
"2020-05-22",323
"2020-05-25",327
"2020-05-26",326
"2020-05-27",325
"2020-05-28",329
"2020-05-29",330
"2020-06-01",338
"2020-06-02",336
"2020-06-03",331
"2020-06-04",326
"2020-06-05",330
"2020-06-08",330
"2020-06-09",333
"2020-06-10",329
"2020-06-11",315
"2020-06-12",308
"2020-06-15",286
"2020-06-16",296
"2020-06-17",288
"2020-06-18",291
"2020-06-19",288
"2020-06-22",285
"2020-06-23",277
"2020-06-24",281
"2020-06-25",275
"2020-06-26",276
"2020-06-29",266
"2020-06-30",271
"2020-07-01",268
"2020-07-02",276
"2020-07-03",278
"2020-07-06",299
"2020-07-07",293
"2020-07-08",290
"2020-07-09",282
"2020-07-10",279
"2020-07-13",289
"2020-07-14",288
"2020-07-15",285
"2020-07-16",287
"2020-07-17",288
"2020-07-20",285
"2020-07-21",285
"2020-07-22",283
"2020-07-23",277
"2020-07-24",276
"2020-07-27",276
"2020-07-28",274
"2020-07-29",274
"2020-07-30",269
"2020-07-31",272
"2020-08-03",268
"2020-08-04",269
"2020-08-05",269
"2020-08-06",269
"2020-08-07",269
"2020-08-10",293
"2020-08-11",284
"2020-08-12",282
"2020-08-13",286
"2020-08-14",283
"2020-08-18",267
"2020-08-19",269
"2020-08-20",254
"2020-08-21",255
"2020-08-24",253
"2020-08-25",260
"2020-08-26",262
"2020-08-27",256
"2020-08-28",259
"2020-08-31",270
"2020-09-01",276
"2020-09-02",281
"2020-09-03",280
"2020-09-04",295
"2020-09-07",301
"2020-09-08",308
"2020-09-09",309
"2020-09-10",300
"2020-09-11",303
"2020-09-14",301
"2020-09-15",303
"2020-09-16",309
"2020-09-17",305
"2020-09-18",307
"2020-09-21",302
"2020-09-22",300
"2020-09-23",303
"2020-09-24",292
"2020-09-25",290
"2020-09-28",295
"2020-09-29",310
"2020-10-05",325
"2020-10-06",326
"2020-10-07",327
"2020-10-08",334
"2020-10-12",330
"2020-10-13",332
"2020-10-14",329
"2020-10-15",320
"2020-10-16",315
"2020-10-19",312
"2020-10-20",301
"2020-10-21",305
"2020-10-22",304
"2020-10-23",307
"2020-10-26",295
"2020-10-27",297
"2020-10-28",303
"2020-10-29",299
"2020-10-30",296
"2020-11-02",299
"2020-11-03",302
"2020-11-04",299
"2020-11-05",299
"2020-11-06",304
"2020-11-09",310
"2020-11-10",314
"2020-11-11",346
"2020-11-12",363
"2020-11-13",357
"2020-11-16",386
"2020-11-17",382
"2020-11-18",393
"2020-11-19",391
"2020-11-20",462
"2020-11-23",440
"2020-11-24",436
"2020-11-25",476
"2020-11-26",476
"2020-11-27",500
"2020-11-30",498
"2020-12-01",509
"2020-12-02",507
"2020-12-03",572
"2020-12-04",595
"2020-12-07",601
"2020-12-08",598
"2020-12-09",617
"2020-12-10",627
"2020-12-11",598
"2020-12-14",565
"2020-12-15",572
"2020-12-16",579
"2020-12-17",563
"2020-12-18",546
"2020-12-21",529
"2020-12-22",504
"2020-12-23",521
"2020-12-24",500
"2020-12-28",474
"2020-12-29",500
"2020-12-30",500
"2021-01-04",485
"2021-01-05",493
"2021-01-06",483
"2021-01-07",487
"2021-01-08",464
"2021-01-11",463
"2021-01-12",462
"2021-01-13",468
"2021-01-14",457
"2021-01-15",453
"2021-01-18",433
"2021-01-19",452
"2021-01-20",448
"2021-01-21",498
"2021-01-22",490
"2021-01-25",493
"2021-01-26",634
"2021-01-27",622
"2021-01-28",535
"2021-01-29",549
"2021-02-01",532
"2021-02-02",550
"2021-02-03",544
"2021-02-04",525
"2021-02-05",529
"2021-02-08",519
"2021-02-09",539
"2021-02-10",552
"2021-02-15",576
"2021-02-16",748
"2021-02-17",812
"2021-02-18",716
"2021-02-19",716
"2021-02-22",724
"2021-02-23",731
"2021-02-24",723
"2021-02-25",742
"2021-02-26",725
"2021-03-02",774
"2021-03-03",776
"2021-03-04",809
"2021-03-05",776
"2021-03-08",752
"2021-03-09",716
"2021-03-10",715
"2021-03-11",728
"2021-03-12",826
"2021-03-15",827
"2021-03-16",889
"2021-03-17",866
"2021-03-18",880
"2021-03-19",854
"2021-03-22",843
"2021-03-23",859
"2021-03-24",861
"2021-03-25",887
"2021-03-26",875
"2021-03-29",855
"2021-03-30",854
"2021-03-31",893
"2021-04-01",864
"2021-04-02",842
"2021-04-05",844
"2021-04-06",836
"2021-04-07",838
"2021-04-08",832
"2021-04-09",820
"2021-04-12",815
"2021-04-13",805
"2021-04-14",805
